id_text,provenience,height,width,thickness,features,scaled_features,cluster,distance,anomaly
236083,Isin (mod. Bahriyat) ?,37.0,33.0,18.0,"[37.0,33.0,18.0]","[-0.7751457267911833,-0.8020469128671988,-0.5762275681603855]",0,0.2033138538457858,0
236084,Isin (mod. Bahriyat) ?,32.0,29.0,15.0,"[32.0,29.0,15.0]","[-0.9844586075760977,-1.1552915538640387,-1.057781184489562]",0,0.7703054240462003,0
236085,Isin (mod. Bahriyat) ?,32.0,29.0,14.0,"[32.0,29.0,14.0]","[-0.9844586075760977,-1.1552915538640387,-1.2182990565992875]",0,0.8769957819541098,0
236086,Isin (mod. Bahriyat) ?,35.0,31.0,14.0,"[35.0,31.0,14.0]","[-0.858870879105149,-0.9786692333656187,-1.2182990565992875]",0,0.7422152375130399,0
236087,Isin (mod. Bahriyat) ?,38.0,34.0,17.0,"[38.0,34.0,17.0]","[-0.7332831506342005,-0.7137357526179888,-0.736745440270111]",0,0.18242445785215636,0
236088,Isin (mod. Bahriyat) ?,33.0,30.0,17.0,"[33.0,30.0,17.0]","[-0.9425960314191149,-1.0669803936148288,-0.736745440270111]",0,0.5360367024740355,0
236089,Isin (mod. Bahriyat) ?,34.0,32.0,18.0,"[34.0,32.0,18.0]","[-0.900733455262132,-0.8903580731164088,-0.5762275681603855]",0,0.3525820413948542,0
236090,Isin (mod. Bahriyat) ?,35.0,32.0,16.0,"[35.0,32.0,16.0]","[-0.858870879105149,-0.8903580731164088,-0.8972633123798365]",0,0.44617613606675244,0
236091,Isin (mod. Bahriyat) ?,42.0,37.0,17.0,"[42.0,37.0,17.0]","[-0.5658328460062689,-0.44880227187035887,-0.736745440270111]",0,0.25633331256195924,0
236092,Isin (mod. Bahriyat) ?,40.0,33.0,18.0,"[40.0,33.0,18.0]","[-0.6495579983202346,-0.8020469128671988,-0.5762275681603855]",0,0.16169651167137838,0
236093,Isin (mod. Bahriyat) ?,48.0,37.0,20.0,"[48.0,37.0,20.0]","[-0.3146573890643716,-0.44880227187035887,-0.2551918239409345]",0,0.5129800632133439,0
236094,Isin (mod. Bahriyat) ?,38.0,37.0,16.0,"[38.0,37.0,16.0]","[-0.7332831506342005,-0.44880227187035887,-0.8972633123798365]",0,0.3709698347503137,0
236095,Isin (mod. Bahriyat) ?,35.0,32.0,16.0,"[35.0,32.0,16.0]","[-0.858870879105149,-0.8903580731164088,-0.8972633123798365]",0,0.44617613606675244,0
236096,Isin (mod. Bahriyat) ?,41.0,35.0,17.0,"[41.0,35.0,17.0]","[-0.6076954221632518,-0.6254245923687788,-0.736745440270111]",0,0.153479513135608,0
